Symbol,Security,CIK,filing_accession,filing_date,fiscal_year,source_form,revenue_musd,net_income_musd,total_liabilities_musd,total_shareholders_equity_musd,cfo_musd,liabilities_to_shareholders_equity_ratio,partial_data,tag_used_revenue,tag_used_net_income,tag_used_total_liabilities,tag_used_total_shareholders_equity,tag_used_cfo
ALLE,Allegion,0001579241,0001579241-24-000006,2/20/2024,2023,10-K,3650.8,540.4,2993.2,1318.3,600.6,2.270499886,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
LNT,Alliant Energy,0000352541,0000352541-24-000014,2/16/2024,2023,10-K,4027,703,21237,6777,867,3.133687472,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ALL,Allstate,0000899051,0000899051-24-000013,2/21/2024,2023,10-K,13786,-188,85732,17770,4228,4.824535734,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
GOOGL,Alphabet Inc. (Class A),0001652044,0001652044-24-000022,1/31/2024,2023,10-K,307394,73795,119013,283379,101746,0.419978192,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
GOOG,Alphabet Inc. (Class C),0001652044,0001652044-24-000022,1/31/2024,2023,10-K,307394,73795,119013,283379,101746,0.419978192,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
MO,Altria,0000764180,0000764180-24-000018,2/27/2024,2023,10-K,24483,8130,42060,-3540,9287,-11.88135593,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AMZN,Amazon,0001018724,0001018724-24-000008,2/2/2024,2023,10-K,574785,30425,527854,201875,84946,2.614756656,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AMCR,Amcor,0001748790,0001748790-25-000023,8/15/2025,2023,10-K,3443,1048,12913,4026,1261,3.207401888,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AEE,Ameren,0001002910,0001002910-24-000056,2/29/2024,2023,10-K,7500,1157,40830,11349,2564,3.597673804,FALSE,us-gaap:Revenues,us-gaap:ProfitLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AEP,American Electric Power,0000004904,0000004904-24-000020,2/26/2024,2023,10-K,18982.3,2212.6,71355.6,25246.7,5012.2,2.826333739,FALSE,us-gaap:Revenues,us-gaap:ProfitLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AXP,American Express,0000004962,0000004962-24-000013,2/9/2024,2023,10-K,37218,8374,233051,28057,18559,8.306340664,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AIG,American International Group,0000005272,0000005272-24-000023,2/14/2024,2023,10-K,46802,3643,488005,45351,6243,10.7606227,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AMT,American Tower,0001053507,0001053507-24-000011,2/27/2024,2023,10-K,11144.2,1367.1,55162.2,4198.2,4722.4,13.13948835,FALSE,us-gaap:Revenues,us-gaap:ProfitLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AWK,American Water Works,0001410636,0001410636-24-000050,2/14/2024,2023,10-K,4217,170,30298,9797,1874,3.092579361,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AMP,Ameriprise Financial,0000820027,0000820027-24-000015,2/22/2024,2023,10-K,16096,417,170462,4729,4685,36.04609854,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AME,Ametek,0001037868,0001037868-24-000009,2/22/2024,2023,10-K,6596.95,1313.19,6293.34,8730.19,1735.3,0.720870909,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AMGN,Amgen,0000318154,0000318154-24-000011,2/14/2024,2023,10-K,28190,6717,97154,6232,8471,15.58953787,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
APH,Amphenol,0000820313,0001558370-24-000866,2/7/2024,2023,10-K,12554.7,1928,8099.9,8346.5,2528.7,0.970454682,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ADI,Analog Devices,0000006281,0000006281-23-000203,11/21/2023,2023,10-K,12305.54,3314.58,48794.48,35565.12,4817.63,1.371975689,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AON,Aon plc,0000315293,0001628280-24-005392,2/16/2024,2023,10-K,13376,2564,34701,-826,3435,-42.01089588,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
APA,APA Corporation,0001841666,0001784031-24-000003,2/22/2024,2023,10-K,8192,3207,15244,2655,3129,5.741619586,TRUE,,us-gaap:ProfitLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
APO,Apollo Global Management,0001858681,0001858681-24-000031,2/27/2024,2023,10-K,32644,5047,288243,14044,6322,20.52428083,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AAPL,Apple Inc.,0000320193,0000320193-23-000106,11/3/2023,2023,10-K,383285,96995,290437,62146,110543,4.673462492,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AMAT,Applied Materials,0000006951,0000006951-23-000041,12/15/2023,2023,10-K,26517,6856,14380,16349,8700,0.879564499,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
APTV,Aptiv,0001521332,0001521332-24-000011,2/6/2024,2023,10-K,20051,2938,12583,11548,1896,1.089625909,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ACGL,Arch Capital Group,0000947484,0000947484-24-000020,2/23/2024,2023,10-K,13634,4443,40551,18353,5749,2.209502534,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ADM,Archer Daniels Midland,0000007084,0000007084-24-000051,11/18/2024,2023,10-K/A,24072,1170,54631,24145,4460,2.262621661,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:NetCashProvidedByUsedInOperatingActivities
ANET,Arista Networks,0001596532,0001596532-24-000043,2/13/2024,2023,10-K,5860.17,2087.32,2727.75,7219.06,2034.01,0.377853903,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AJG,Arthur J. Gallagher & Co.,0000354190,0000950170-24-013370,2/9/2024,2023,10-K,10071.9,969.5,40800.5,10775.3,2031.7,3.786483903,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AIZ,Assurant,0001267238,0001267238-24-000008,2/15/2024,2023,10-K,11131.6,642.5,28825.7,4809.5,1138.1,5.993492047,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
T,AT&T,0000732717,0000732717-24-000009,2/23/2024,2023,10-K,30139,14400,407060,117442,38314,3.466051327,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
ATO,Atmos Energy,0000731802,0000731802-23-000028,11/14/2023,2023,10-K,4275.36,885.86,22516.97,10870.06,3459.74,2.071466947,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ADSK,Autodesk,0000769397,0000769397-24-000090,6/10/2024,2023,10-K,5005,823,9438,1145,2071,8.24279476,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ADP,Automatic Data Processing,0000008670,0000008670-24-000024,8/7/2024,2023,10-K,18012.2,3412,47461.9,3509.1,4207.6,13.52537688,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AZO,AutoZone,0000866787,0001558370-23-016668,10/24/2023,2023,10-K,17457.21,2528.43,15985.88,-4349.89,2940.79,-3.675007874,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AVB,AvalonBay Communities,0000915912,0000915912-24-000004,2/23/2024,2023,10-K,2767.91,928.44,8893.42,11783.24,1560.03,0.754751664,FALSE,us-gaap:Revenues,us-gaap:ProfitLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AVY,Avery Dennison,0000008818,0000008818-24-000003,2/21/2024,2023,10-K,8364.3,503,8209.8,2127.9,826,3.858170027,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AXON,Axon Enterprise,0001069183,0001069183-25-000019,2/28/2025,2023,10-K,344.34,45.9,1793.41,1615.77,189.26,1.10994139,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BKR,Baker Hughes,0001701605,0001701605-24-000033,2/5/2024,2023,10-K,25506,1943,36945,15368,3062,2.404021343,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BALL,Ball Corporation,0000009389,0001558370-24-001349,2/20/2024,2023,10-K,12062,711,15466,3769,1863,4.103475723,TRUE,,us-gaap:ProfitLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BAC,Bank of America,0000070858,0000070858-24-000122,2/20/2024,2023,10-K,98581,26515,2888505,291646,44982,9.904147494,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BAX,Baxter International,0000010456,0001628280-24-003932,2/8/2024,2023,10-K,3513,44,19808,8402,1726,2.35753392,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BDX,Becton Dickinson,0000010795,0000010795-23-000098,11/21/2023,2023,10-K,19372,1484,52780,25796,2990,2.046053652,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
BRK.B,Berkshire Hathaway,0001067983,0000950170-24-019719,2/26/2024,2023,10-K,364482,96223,499208,561273,49196,0.889421013,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BBY,Best Buy,0000764478,0000764478-24-000010,3/15/2024,2023,10-K,46298,1419,15803,2795,1824,5.654025045,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
TECH,Bio-Techne,0000842023,0001558370-24-012430,8/22/2024,2023,10-K,1136.7,285.26,2638.69,1966.52,254.39,1.341806847,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BIIB,Biogen,0000875045,0000875045-24-000009,2/14/2024,2023,10-K,9835.6,1161.1,12045.4,14799.4,1547.2,0.813911375,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BLK,BlackRock,0002012383,0000950170-25-026584,2/25/2025,2023,10-K,11012,5502,81971,39347,4165,2.083284621,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BX,Blackstone Inc.,0001393818,0001193125-24-044485,2/23/2024,2023,10-K,8022.84,1390.88,22212.32,6816.8,4056.91,3.258467316,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
XYZ,Block Inc.,0001512673,0001628280-24-006354,2/22/2024,2023,10-K,21915.62,9.77,15377.06,18695.26,100.96,0.822511161,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BK,BNY Mellon,0001390777,0001390777-24-000051,2/28/2024,2023,10-K,17502,3286,368944,40874,5912,9.026373734,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BA,Boeing,0000012927,0000012927-24-000010,1/31/2024,2023,10-K,77794,-2222,154240,-17233,5960,-8.950269831,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BKNG,Booking Holdings,0001075531,0001075531-24-000014,2/22/2024,2023,10-K,21365,4289,27086,-2744,7344,-9.870991254,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BSX,Boston Scientific,0000885725,0000885725-24-000017,2/20/2024,2023,10-K,14240,1592,35136,19282,2503,1.822217612,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:ProfitLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BMY,Bristol Myers Squibb,0000014272,0000014272-24-000044,2/13/2024,2023,10-K,45006,8025,65674,29430,13860,2.23153245,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AVGO,Broadcom,0001730168,0001730168-24-000139,12/20/2024,2023,10-K,35819,14082,48873,23988,18085,2.037393697,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:NetCashProvidedByUsedInOperatingActivities
BR,Broadridge Financial Solutions,0001383312,0001383312-24-000039,8/6/2024,2023,10-K,6060.9,630.6,5992.6,2240.6,823.3,2.674551459,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BRO,Brown & Brown,0000079282,0000950170-24-018890,2/22/2024,2023,10-K,4257.1,870.5,14883.4,5578.8,1009.5,2.667849717,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BF.B,Brown–Forman,0000014693,0000014693-24-000086,6/14/2024,2023,10-K,4228,783,4509,3268,640,1.379742962,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BLDR,Builders FirstSource,0001316835,0000950170-24-018584,2/22/2024,2023,10-K,17097.33,1540.56,5767.1,4732.35,2306.87,1.21865458,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BG,Bunge Global,0001996862,0001996862-24-000007,2/22/2024,2023,10-K,15328,632,25372,10851,3308,2.338217676,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
BXP,BXP Inc.,0001037540,0001656423-24-000007,2/27/2024,2023,10-K,3273.57,190.22,17833.78,5876.7,1301.52,3.034658907,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
CHRW,C.H. Robinson,0001043277,0001043277-24-000011,2/16/2024,2023,10-K,17596.44,325.13,3806.58,1418.7,731.95,2.683146543,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
CDNS,Cadence Design Systems,0000813672,0000813672-24-000034,2/14/2024,2023,10-K,4089.99,1041.14,5669.49,3404.27,1349.18,1.665405505,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
CZR,Caesars Entertainment,0001590895,0001590895-24-000051,2/20/2024,2023,10-K,11528,786,28646,4552,1809,6.293057996,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
CPT,Camden Property Trust,0000906345,0000906345-24-000007,2/22/2024,2023,10-K,3.45,403.31,4331.97,4980.76,794.95,0.869740762,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
CPB,Campbell's Company (The),0000016732,0000016732-23-000109,9/21/2023,2023,10-K,9357,858,8395,3661,1143,2.29308932,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
